"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","UI Automation","1","0","登录账号 1","0"
"0","","0","UI Automation","1","0","登录账号 2","0"
